20:46:20.121 -> Adafruit MPU6050 test!
20:46:21.623 -> Adafruit MPU6050 test!
20:46:21.879 -> MPU6050 Found!
20:46:21.879 -> Accelerometer range set to: +-8G
20:46:21.879 -> Gyro range set to: +- 500 deg/s
20:46:21.879 -> Filter bandwidth set to: 21 Hz
20:46:21.925 -> 
20:46:21.990 -> Acceleration X: -0.20, Y: -6.14, Z: -8.37 m/s^2
20:46:21.990 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:21.990 -> 
20:46:21.990 -> Acceleration X: -0.17, Y: -6.13, Z: -8.36 m/s^2
20:46:22.023 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.023 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:22.023 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.023 -> Acceleration X: -0.19, Y: -6.14, Z: -8.36 m/s^2
20:46:22.023 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.023 -> Acceleration X: -0.21, Y: -6.13, Z: -8.37 m/s^2
20:46:22.023 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.023 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:22.023 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.055 -> Acceleration X: -0.22, Y: -6.13, Z: -8.36 m/s^2
20:46:22.055 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.055 -> Acceleration X: -0.21, Y: -6.13, Z: -8.31 m/s^2
20:46:22.055 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.055 -> Acceleration X: -0.20, Y: -6.12, Z: -8.32 m/s^2
20:46:22.055 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.055 -> Acceleration X: -0.18, Y: -6.14, Z: -8.32 m/s^2
20:46:22.055 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.088 -> Acceleration X: -0.19, Y: -6.14, Z: -8.32 m/s^2
20:46:22.088 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.088 -> Acceleration X: -0.17, Y: -6.15, Z: -8.33 m/s^2
20:46:22.088 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.088 -> Acceleration X: -0.17, Y: -6.12, Z: -8.32 m/s^2
20:46:22.088 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.088 -> Acceleration X: -0.20, Y: -6.12, Z: -8.34 m/s^2
20:46:22.088 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.088 -> Acceleration X: -0.22, Y: -6.11, Z: -8.35 m/s^2
20:46:22.122 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.122 -> Acceleration X: -0.21, Y: -6.12, Z: -8.35 m/s^2
20:46:22.122 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.122 -> Acceleration X: -0.21, Y: -6.12, Z: -8.32 m/s^2
20:46:22.122 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.122 -> Acceleration X: -0.19, Y: -6.11, Z: -8.32 m/s^2
20:46:22.122 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.154 -> Acceleration X: -0.18, Y: -6.12, Z: -8.33 m/s^2
20:46:22.154 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.154 -> Acceleration X: -0.19, Y: -6.11, Z: -8.35 m/s^2
20:46:22.154 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.154 -> Acceleration X: -0.19, Y: -6.11, Z: -8.38 m/s^2
20:46:22.154 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.154 -> Acceleration X: -0.20, Y: -6.12, Z: -8.36 m/s^2
20:46:22.154 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.154 -> Acceleration X: -0.19, Y: -6.12, Z: -8.34 m/s^2
20:46:22.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.188 -> Acceleration X: -0.20, Y: -6.12, Z: -8.37 m/s^2
20:46:22.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.188 -> Acceleration X: -0.21, Y: -6.12, Z: -8.34 m/s^2
20:46:22.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.188 -> Acceleration X: -0.21, Y: -6.12, Z: -8.35 m/s^2
20:46:22.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.188 -> Acceleration X: -0.21, Y: -6.13, Z: -8.35 m/s^2
20:46:22.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.222 -> Acceleration X: -0.21, Y: -6.16, Z: -8.36 m/s^2
20:46:22.222 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.222 -> Acceleration X: -0.21, Y: -6.15, Z: -8.34 m/s^2
20:46:22.222 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.222 -> Acceleration X: -0.20, Y: -6.15, Z: -8.32 m/s^2
20:46:22.222 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
