"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.422499962E-4,-6.433621216E-1,2.739303589E-1,9.709109802E0,9.734257332E0
9.478749998E-3,-4.739144897E-1,2.519261169E-1,9.770033112E0,9.784764111E0
1.949874999E-2,-3.836521912E-1,3.252735901E-1,9.900112610E0,9.912881599E0
2.951975001E-2,-5.378315735E-1,5.774990845E-1,1.037267990E1,1.040265621E1
3.953975000E-2,-7.647596741E-1,5.945635986E-1,1.023391846E1,1.027966197E1
4.956074999E-2,-8.396040344E-1,4.622387695E-1,1.004785538E1,1.009346310E1
5.958075001E-2,-9.773176575E-1,4.207749939E-1,9.980944519E0,1.003750242E1
6.960074999E-2,-9.288185120E-1,3.230282593E-1,9.714348907E0,9.763996404E0
7.962174999E-2,-7.937992859E-1,2.814147949E-1,9.574689331E0,9.611658930E0
8.964175000E-2,-7.902067566E-1,1.678010559E-1,9.569749603E0,9.603785263E0
9.966275000E-2,-8.187973022E-1,2.074685669E-1,9.628876648E0,9.665854216E0
1.096827500E-1,-7.845185852E-1,1.457968140E-1,9.665400696E0,9.698283185E0
1.197037500E-1,-7.515870667E-1,1.694476318E-1,9.656718750E0,9.687404845E0
1.297237500E-1,-7.716453552E-1,1.971400452E-1,9.664801941E0,9.697561410E0
1.397447500E-1,-7.123686218E-1,1.222956848E-1,9.727521515E0,9.754337502E0
1.497647500E-1,-6.899153137E-1,1.414558411E-1,9.784852295E0,9.810164490E0
1.597857500E-1,-6.595285034E-1,1.371148682E-1,9.728569336E0,9.751863394E0
1.698057500E-1,-6.300398254E-1,7.170089722E-2,9.759554901E0,9.780133080E0
1.798267500E-1,-6.141728210E-1,1.022373962E-1,9.879455566E0,9.899055663E0
1.898467500E-1,-6.026467896E-1,1.178050232E-1,9.921518097E0,9.940502126E0
1.998667500E-1,-6.057902527E-1,1.489402771E-1,9.895921326E0,9.915564730E0
2.098877500E-1,-6.039939880E-1,1.835183716E-1,9.918524323E0,9.938592077E0
2.199077500E-1,-6.143225098E-1,1.618135071E-1,9.952204285E0,9.972459370E0
2.299287500E-1,-5.990542603E-1,1.351689148E-1,9.950857086E0,9.969789034E0
2.399487500E-1,-5.685177612E-1,1.115180969E-1,9.908944244E0,9.925866449E0
2.499697500E-1,-5.737568665E-1,4.221221924E-2,9.777218170E0,9.794129566E0
2.599897500E-1,-5.436694336E-1,4.191284180E-2,9.818083191E0,9.833213650E0
2.700107500E-1,-5.888754272E-1,5.733078003E-2,9.767488403E0,9.785391704E0
2.800307500E-1,-6.361770630E-1,3.023712158E-2,9.745184784E0,9.765974709E0
2.900517500E-1,-6.493496704E-1,1.182540894E-2,9.740394745E0,9.762022568E0
3.000717500E-1,-6.903643799E-1,1.422042847E-2,9.692943420E0,9.717507775E0
3.100927500E-1,-7.366181946E-1,5.164260864E-2,9.608069916E0,9.636403937E0
3.201127500E-1,-7.726931763E-1,6.301895142E-2,9.622889099E0,9.654067575E0
3.301337500E-1,-8.469387817E-1,8.637039185E-2,9.592651978E0,9.630354983E0
3.401537500E-1,-8.893006897E-1,1.264869690E-1,9.601782990E0,9.643707339E0
3.501737500E-1,-8.925938416E-1,1.333726501E-1,9.592202911E0,9.634566348E0
3.601947500E-1,-8.894503784E-1,1.365161133E-1,9.629625092E0,9.671578880E0
3.702147500E-1,-8.921447754E-1,1.712438965E-1,9.683513031E0,9.726030608E0
3.802357500E-1,-8.375083923E-1,2.020797729E-1,9.734706573E0,9.772756449E0
3.902557500E-1,-7.759863281E-1,2.094145203E-1,9.781559143E0,9.814525383E0
4.002767500E-1,-6.996450806E-1,2.246827698E-1,9.836794281E0,9.864203329E0
4.102967500E-1,-6.388714600E-1,2.619552612E-1,9.836943970E0,9.861148207E0
4.203177500E-1,-5.679190063E-1,2.245330811E-1,9.782756653E0,9.801799571E0
4.303377500E-1,-5.292993164E-1,2.140548706E-1,9.792785797E0,9.809415422E0
4.403587500E-1,-4.836442566E-1,1.908531189E-1,9.817185059E0,9.830943961E0
4.503787500E-1,-4.402345276E-1,1.800755310E-1,9.810449066E0,9.821972537E0
4.603997500E-1,-4.534071350E-1,1.898052979E-1,9.803114319E0,9.815429406E0
4.704197500E-1,-4.736151123E-1,1.796264648E-1,9.837991791E0,9.851023267E0
4.804397500E-1,-5.222639465E-1,2.186952209E-1,9.833351440E0,9.849638967E0
4.904607500E-1,-5.285508728E-1,1.969903564E-1,9.818532257E0,9.834721496E0
