"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.315125001E-3,-8.637039185E-1,3.073408813E0,9.143735504E0,9.685025822E0
1.333412500E-2,-8.861572266E-1,3.095413055E0,9.249864807E0,9.794225623E0
2.335212500E-2,-8.991801453E-1,2.927612000E0,9.560319214E0,1.003888143E1
3.337112500E-2,-9.788145447E-1,2.874771881E0,9.977501678E0,1.042942621E1
4.338912500E-2,-9.060658264E-1,2.791395264E0,1.037986496E1,1.078677150E1
5.340812500E-2,-8.419990540E-1,2.850821686E0,1.051233948E1,1.092453331E1
6.342612500E-2,-6.936575317E-1,2.910996552E0,1.054946228E1,1.096568357E1
7.344512500E-2,-6.613247681E-1,2.872227173E0,1.054931259E1,1.095331162E1
8.346312500E-2,-7.520361328E-1,2.964435425E0,1.044033920E1,1.087906790E1
9.348212500E-2,-6.818321228E-1,3.161725159E0,9.996063080E0,1.050631611E1
1.035001250E-1,-4.323010254E-1,3.333717499E0,9.543105011E0,1.011787575E1
1.135191250E-1,-2.424957275E-1,3.377576294E0,9.408834229E0,9.999649361E0
1.235371250E-1,-3.799099731E-1,3.425326996E0,9.405840454E0,1.001733654E1
1.335561250E-1,-5.514532471E-1,3.395239563E0,9.171577606E0,9.795386065E0
1.435741250E-1,-5.272036743E-1,3.194506989E0,9.004524994E0,9.568923084E0
1.535931250E-1,-4.520599365E-1,3.092568970E0,8.779393158E0,9.319124704E0
1.636111250E-1,-3.224295044E-1,3.014132080E0,8.490344238E0,9.015259190E0
1.736301250E-1,-2.406994629E-1,2.922821960E0,8.209228821E0,8.717354087E0
1.836481250E-1,-2.288740540E-1,2.890339508E0,8.072862396E0,8.577735894E0
1.936671250E-1,-2.896476746E-1,2.903212738E0,8.357570343E0,8.852204359E0
2.036857917E-1,-2.338137817E-1,2.806513824E0,8.925639038E0,9.359392126E0
2.137037917E-1,-2.395019531E-2,2.671344910E0,9.010811920E0,9.398477999E0
2.237227917E-1,1.339714050E-1,2.357148285E0,9.063053284E0,9.365523541E0
2.337407917E-1,5.852828979E-2,1.939367065E0,9.026379547E0,9.232556412E0
2.437597917E-1,-1.432521057E-1,1.574276276E0,9.185348969E0,9.320381035E0
2.537777917E-1,-4.848417664E-1,1.135388947E0,9.832153931E0,9.909360752E0
2.637967917E-1,-8.708889771E-1,7.086264038E-1,1.061951660E1,1.067870460E1
