"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.538333338E-4,-8.641529846E-1,8.743318176E-1,8.737031250E0,8.823090817E0
1.027283333E-2,-5.896238708E-1,8.806187439E-1,8.610993347E0,8.675964045E0
2.029083333E-2,-3.143463135E-1,1.450334015E0,8.535849609E0,8.663891211E0
3.030883333E-2,-2.760260010E-1,2.252366180E0,8.619675293E0,8.913368943E0
4.032683333E-2,-8.180488586E-1,2.393223267E0,8.857231293E0,9.211257662E0
5.034583333E-2,-1.469643860E0,1.992656250E0,9.053323517E0,9.385797713E0
6.036383333E-2,-1.631906433E0,1.639091492E0,9.202263794E0,9.488487680E0
7.038183333E-2,-1.714833984E0,1.622925110E0,9.494755554E0,9.783911515E0
8.040083333E-2,-1.615740051E0,1.839375000E0,9.821675720E0,1.012221469E1
9.041883333E-2,-1.513502655E0,1.928888855E0,1.008722351E1,1.038091425E1
1.004368333E-1,-1.499132538E0,1.834285583E0,9.909842377E0,1.018906168E1
1.104548333E-1,-1.476379852E0,1.650467834E0,9.731413422E0,9.980187810E0
1.204738333E-1,-1.429377594E0,1.520837402E0,9.652377777E0,9.875447507E0
1.304918333E-1,-1.325942688E0,1.452130280E0,9.517508240E0,9.718527124E0
1.405098333E-1,-1.251397705E0,1.390159149E0,9.393116913E0,9.577535383E0
1.505278333E-1,-1.257235565E0,1.353784790E0,9.362730103E0,9.543274569E0
1.605468333E-1,-1.290017395E0,1.383572845E0,9.488768005E0,9.675491562E0
1.705648333E-1,-1.394051056E0,1.504521332E0,9.626032562E0,9.842127091E0
1.805828333E-1,-1.446741486E0,1.627266083E0,9.771080933E0,1.001074814E1
1.906018333E-1,-1.453627167E0,1.684147797E0,9.933044128E0,1.017913314E1
2.006198333E-1,-1.523531799E0,1.727707214E0,9.986932068E0,1.024914306E1
2.106378333E-1,-1.610650635E0,1.771116943E0,9.955347748E0,1.023914056E1
2.206558333E-1,-1.648372192E0,1.744472351E0,9.875114594E0,1.016258840E1
2.306748333E-1,-1.606010284E0,1.686692505E0,9.794282684E0,1.006738168E1
2.406928333E-1,-1.520687714E0,1.663341064E0,9.680070190E0,9.938961390E0
2.507108333E-1,-1.405277710E0,1.620380402E0,9.522298279E0,9.760870996E0
2.607298333E-1,-1.306483154E0,1.594334564E0,9.383985901E0,9.607704842E0
2.707478333E-1,-1.243913269E0,1.559307404E0,9.373657379E0,9.583538619E0
2.807658333E-1,-1.271755371E0,1.449735260E0,9.390272827E0,9.586256716E0
2.907838333E-1,-1.311273193E0,1.365909576E0,9.318871307E0,9.509285399E0
3.008028333E-1,-1.335522766E0,1.319655762E0,9.273815002E0,9.461963701E0
3.108208333E-1,-1.370400238E0,1.232985992E0,9.331744537E0,9.512082179E0
3.208388333E-1,-1.396146698E0,1.150507507E0,9.460327148E0,9.631753884E0
3.308577917E-1,-1.356928253E0,1.012943573E0,9.601034546E0,9.749213985E0
3.408757917E-1,-1.400787048E0,8.970845032E-1,9.783205719E0,9.923612200E0
3.508937917E-1,-1.476230164E0,8.240364075E-1,9.941426697E0,1.008415868E1
3.609117917E-1,-1.486109619E0,8.300239563E-1,9.895023193E0,1.004036581E1
3.709307917E-1,-1.497635651E0,9.569599915E-1,9.779912567E0,9.940089275E0
3.809487917E-1,-1.516346741E0,1.141376495E0,9.671537933E0,9.855997856E0
3.909667917E-1,-1.548230438E0,1.356329498E0,9.517807617E0,9.737828764E0
4.009857917E-1,-1.594933319E0,1.567839661E0,9.408235474E0,9.670409930E0
4.110037917E-1,-1.709445190E0,1.722917175E0,9.342522125E0,9.652635190E0
4.210217917E-1,-1.886676636E0,1.768272858E0,9.322912903E0,9.674866543E0
4.310397917E-1,-2.007475433E0,1.774709473E0,9.353599091E0,9.729818461E0
4.410587917E-1,-2.031126251E0,1.752705231E0,9.391170959E0,9.766859345E0
4.510767917E-1,-1.967658234E0,1.722168732E0,9.438921661E0,9.794426282E0
4.610947917E-1,-1.922152863E0,1.677711182E0,9.469907227E0,9.807575099E0
4.711127917E-1,-1.834884338E0,1.606908417E0,9.464219055E0,9.773453715E0
4.811317917E-1,-1.772613831E0,1.498533783E0,9.485025787E0,9.764910521E0
4.911497917E-1,-1.731748810E0,1.369951172E0,9.613758087E0,9.864079517E0
5.011677917E-1,-1.678160248E0,1.240470428E0,9.785750427E0,1.000579333E1
