"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.986208343E-3,4.011657715E-1,5.293741608E0,8.543633423E0,1.005874278E1
1.200520832E-2,4.484674072E-1,5.061873779E0,8.156987457E0,9.610417970E0
2.202420833E-2,9.502239990E-1,4.832400970E0,8.059989166E0,9.445551871E0
3.204420832E-2,9.554631042E-1,4.887187042E0,8.440797272E0,9.800232932E0
4.206320833E-2,7.478448486E-1,5.055586853E0,8.595874786E0,1.000036468E1
5.208320834E-2,7.586224365E-1,5.118755493E0,8.515791321E0,9.964731187E0
6.210220832E-2,7.750881958E-1,5.056185608E0,8.429271240E0,9.859938552E0
7.212120833E-2,7.158114624E-1,4.994513855E0,8.401728516E0,9.800336563E0
8.214120835E-2,6.653663635E-1,5.030888214E0,8.361312561E0,9.780802440E0
9.216020833E-2,5.713618469E-1,5.084177399E0,8.321495361E0,9.768449172E0
1.021792083E-1,3.685336304E-1,5.063670044E0,8.330925751E0,9.756069660E0
1.121992083E-1,2.288740540E-1,5.040168915E0,8.258775787E0,9.677967944E0
1.222182083E-1,1.919009399E-1,5.047353973E0,8.135132904E0,9.575645956E0
1.322372083E-1,3.637435913E-1,5.061574402E0,7.865842896E0,9.360733373E0
1.422572083E-1,6.044430542E-1,5.235512695E0,7.536827087E0,9.196722630E0
1.522762083E-1,7.018904114E-1,5.378764801E0,7.546407166E0,9.293654935E0
1.622952083E-1,8.982820129E-1,5.162763977E0,7.930209045E0,9.505222668E0
1.723152083E-1,9.122030640E-1,4.902455292E0,8.556656342E0,9.903663467E0
1.823342083E-1,6.007008362E-1,4.723277893E0,8.716673584E0,9.932300535E0
1.923532083E-1,3.698808289E-1,4.755910034E0,8.622669067E0,9.854233300E0
2.023732083E-1,3.155438232E-1,4.881798248E0,8.611143036E0,9.903701653E0
2.123922083E-1,2.445913696E-1,4.874164124E0,8.693172455E0,9.969380531E0
2.224122083E-1,1.625619507E-1,4.826712799E0,8.735534363E0,9.981640318E0
2.324312083E-1,1.646575928E-1,4.786596222E0,8.859626312E0,1.007132533E1
2.424502083E-1,1.556762695E-1,4.716841278E0,8.888216858E0,1.006345992E1
2.524702083E-1,1.434017944E-1,4.639901276E0,8.908574524E0,1.004549391E1
2.624892083E-1,1.098715210E-1,4.548591156E0,9.079069977E0,1.015535646E1
2.725082083E-1,1.901046753E-2,4.544549561E0,9.295370178E0,1.034684487E1
2.825282083E-1,-6.376739502E-2,4.551734619E0,9.448651428E0,1.048805836E1
2.925472083E-1,-7.768844604E-2,4.566404114E0,9.409283295E0,1.045909624E1
3.025660833E-1,5.239105225E-2,4.571493530E0,9.213041382E0,1.028500994E1
3.125860833E-1,2.257305908E-1,4.512965240E0,8.987610168E0,1.005956988E1
3.226050833E-1,3.784130859E-1,4.511917419E0,8.834628296E0,9.927298343E0
3.326240833E-1,5.522016907E-1,4.503235474E0,8.724008331E0,9.833228249E0
3.426440833E-1,6.462062073E-1,4.581522675E0,8.648415527E0,9.808314005E0
3.526630833E-1,7.150630188E-1,4.553680573E0,8.592581635E0,9.750886166E0
3.626820833E-1,6.556365967E-1,4.654870148E0,8.683891754E0,9.874596267E0
3.727020833E-1,6.979985046E-1,4.772525482E0,8.669222260E0,9.920666105E0
3.827210833E-1,8.786727905E-1,4.735552368E0,8.630003815E0,9.883040420E0
3.927410833E-1,8.873547363E-1,4.633764038E0,8.670270081E0,9.870802949E0
4.027600833E-1,8.223898315E-1,4.543202362E0,8.715925140E0,9.863283621E0
4.127790833E-1,8.027806091E-1,4.448449402E0,8.671617279E0,9.779064629E0
4.227990833E-1,8.984317017E-1,4.412673798E0,8.606203308E0,9.713166577E0
4.328180833E-1,9.440867615E-1,4.394860840E0,8.536747742E0,9.647909806E0
4.428370833E-1,8.713380432E-1,4.337080994E0,8.423732758E0,9.514661061E0
4.528570833E-1,7.294331360E-1,4.236939240E0,8.440198517E0,9.472099969E0
4.628760833E-1,5.640270996E-1,4.165088654E0,8.531209259E0,9.510395443E0
4.728950833E-1,3.790118408E-1,4.221371613E0,8.508905640E0,9.506056146E0
4.829150833E-1,1.908531189E-1,4.097279663E0,8.501271515E0,9.439054133E0
4.929340833E-1,-1.966909790E-1,3.881428528E0,8.372539215E0,9.230578945E0
5.029530833E-1,-4.071533203E-1,3.607647858E0,8.445287933E0,9.192594039E0
5.129730833E-1,-6.240522766E-1,3.457210693E0,8.389304352E0,9.095173145E0
5.229920833E-1,-9.406439209E-1,3.452570343E0,8.412356415E0,9.141815652E0
5.330110833E-1,-1.133742371E0,3.302731934E0,8.270301819E0,8.977265851E0
5.430310833E-1,-1.215023346E0,3.114124146E0,8.340056763E0,8.985020742E0
5.530500833E-1,-1.276545410E0,3.046015778E0,8.586145020E0,9.199438385E0
5.630690833E-1,-1.479822693E0,2.937940521E0,8.786727905E0,9.382321514E0
5.730890833E-1,-1.621278534E0,2.847229156E0,8.953930206E0,9.534575192E0
5.831080833E-1,-1.422491913E0,2.740800476E0,8.911119232E0,9.430987035E0
5.931280833E-1,-1.306183777E0,2.615361328E0,8.790619812E0,9.263974720E0
6.031470833E-1,-1.339115295E0,2.596500549E0,8.647816772E0,9.127966904E0
6.131660833E-1,-1.327738953E0,2.708617401E0,8.488098907E0,9.008180838E0
6.231860833E-1,-1.209634552E0,3.051703949E0,8.293952637E0,8.919964298E0
6.332050833E-1,-1.094374237E0,3.310964813E0,8.190368042E0,8.901812828E0
6.432240833E-1,-1.006956024E0,3.284320221E0,8.510402527E0,9.177563452E0
6.532440833E-1,-6.141728210E-1,3.209475861E0,8.576265564E0,9.177705300E0
6.632630833E-1,-2.170486450E-1,3.171155548E0,8.402926025E0,8.984013770E0
6.732820833E-1,-5.523513794E-2,3.186274109E0,8.825946350E0,9.383641222E0
6.833020833E-1,-1.850152588E-1,3.388503571E0,9.336684265E0,9.934277033E0
6.933210833E-1,-8.110134888E-1,2.868484955E0,9.227860565E0,9.697389310E0
7.033400833E-1,-5.297483826E-1,2.659968567E0,9.289831696E0,9.677656692E0
7.133600833E-1,-3.685336304E-1,2.705773315E0,9.353898468E0,9.744354408E0
7.233790833E-1,-5.165757751E-1,2.373913422E0,9.621841278E0,9.923817060E0
7.333980833E-1,-6.725514221E-1,2.026934967E0,9.915530548E0,1.014290574E1
7.434180833E-1,-8.095166016E-1,1.871707764E0,9.921967163E0,1.012936521E1
7.534370833E-1,-8.119116211E-1,1.875449982E0,9.777816925E0,9.989104912E0
7.634570833E-1,-8.051756287E-1,1.930086365E0,9.697883148E0,9.920810386E0
7.734760833E-1,-8.749305725E-1,1.998344421E0,9.675878906E0,9.918745714E0
7.834950833E-1,-9.313632202E-1,2.071691895E0,9.583670654E0,9.849166866E0
7.935150833E-1,-9.550140381E-1,2.219734039E0,9.571545868E0,9.871867165E0
8.035340833E-1,-9.839039612E-1,2.388133850E0,9.681567078E0,1.002017921E1
